customer_id,company_name,country,default_billing_method
cust_00001,Digital Education,Canada,credit_card
cust_00002,Smart Skills,Brazil,credit_card
cust_00003,Future Training,France,credit_card
cust_00004,Modern Talent,Brazil,debit_card
cust_00005,Advanced Growth,United States,credit_card
cust_00006,Premier Academy,Australia,credit_card
cust_00007,Elite Institute,Australia,wire
cust_00008,Dynamic Solutions,Brazil,credit_card
cust_00009,Agile Ventures,India,debit_card
cust_00010,Innovative Pathways,France,debit_card
cust_00011,Bright Labs,Netherlands,debit_card
cust_00012,Apex Learning,Australia,debit_card
cust_00013,Nexus Education,United Kingdom,wire
cust_00014,Lumina Skills,Spain,debit_card
cust_00015,Global Training,Brazil,credit_card
cust_00016,Digital Talent,France,credit_card
cust_00017,Smart Growth,India,wire
cust_00018,Future Academy,Spain,credit_card
cust_00019,Modern Institute,Brazil,debit_card
cust_00020,Advanced Solutions,Australia,credit_card
cust_00021,Premier Ventures,United States,credit_card
cust_00022,Elite Pathways,Netherlands,wire
cust_00023,Dynamic Labs,Spain,wire
cust_00024,Agile Learning,United States,wire
cust_00025,Innovative Education,Canada,wire
cust_00026,Bright Skills,Spain,credit_card
cust_00027,Apex Training,Brazil,credit_card
cust_00028,Nexus Talent,France,credit_card
cust_00029,Lumina Growth,Brazil,credit_card
cust_00030,Global Academy,Australia,debit_card
cust_00031,Digital Institute,United Kingdom,credit_card
cust_00032,Smart Solutions,Brazil,credit_card
cust_00033,Future Ventures,Germany,debit_card
cust_00034,Modern Pathways,France,wire
cust_00035,Advanced Labs,Australia,debit_card
cust_00036,Premier Learning,United Kingdom,debit_card
cust_00037,Elite Education,France,credit_card
cust_00038,Dynamic Skills,United Kingdom,credit_card
cust_00039,Agile Training,Spain,credit_card
cust_00040,Innovative Talent,India,wire
cust_00041,Bright Growth,Netherlands,credit_card
cust_00042,Apex Academy,Netherlands,debit_card
cust_00043,Nexus Institute,United Kingdom,credit_card
cust_00044,Lumina Solutions,United Kingdom,credit_card
cust_00045,Global Ventures,Netherlands,credit_card
cust_00046,Digital Pathways,United Kingdom,debit_card
cust_00047,Smart Labs,Brazil,credit_card
