invoice_id,customer_id,subscription_id,product_id,invoice_date,billing_start_date,billing_end_date,amount_usd
inv_0000001,cust_00001,sub_000001,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0
inv_0000002,cust_00002,sub_000002,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000003,cust_00003,sub_000003,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0
inv_0000004,cust_00004,sub_000004,prod_005,2023-01-01,2023-01-01,2023-03-31,282
inv_0000005,cust_00005,sub_000005,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0
inv_0000006,cust_00006,sub_000006,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000007,cust_00007,sub_000007,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000008,cust_00008,sub_000008,prod_008,2023-01-01,2023-01-01,2023-03-31,852
inv_0000009,cust_00009,sub_000009,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000010,cust_00010,sub_000010,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000011,cust_00011,sub_000011,prod_009,2023-01-01,2023-01-01,2023-12-31,2988
inv_0000012,cust_00012,sub_000012,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0
inv_0000013,cust_00013,sub_000013,prod_005,2023-01-01,2023-01-01,2023-03-31,282
inv_0000014,cust_00014,sub_000014,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0
inv_0000015,cust_00015,sub_000015,prod_008,2023-01-01,2023-01-01,2023-03-31,852
inv_0000016,cust_00016,sub_000016,prod_009,2023-01-01,2023-01-01,2023-12-31,2988
inv_0000017,cust_00017,sub_000017,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0
inv_0000018,cust_00018,sub_000018,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000019,cust_00019,sub_000019,prod_002,2023-01-01,2023-01-01,2023-03-31,81
inv_0000020,cust_00020,sub_000020,prod_005,2023-01-01,2023-01-01,2023-03-31,282
inv_0000021,cust_00021,sub_000021,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0
inv_0000022,cust_00022,sub_000022,prod_006,2023-01-01,2023-01-01,2023-12-31,948
inv_0000023,cust_00023,sub_000023,prod_002,2023-01-01,2023-01-01,2023-03-31,81
inv_0000024,cust_00024,sub_000024,prod_009,2023-01-01,2023-01-01,2023-12-31,2988
inv_0000025,cust_00025,sub_000025,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0
inv_0000026,cust_00026,sub_000026,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000027,cust_00027,sub_000027,prod_009,2023-01-01,2023-01-01,2023-12-31,2988
inv_0000028,cust_00028,sub_000028,prod_007,2023-01-01,2023-01-01,2023-01-31,299.0
inv_0000029,cust_00029,sub_000029,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0
inv_0000030,cust_00030,sub_000030,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000031,cust_00031,sub_000031,prod_003,2023-01-01,2023-01-01,2023-12-31,288
inv_0000032,cust_00032,sub_000032,prod_009,2023-01-01,2023-01-01,2023-12-31,2988
inv_0000033,cust_00033,sub_000033,prod_006,2023-01-01,2023-01-01,2023-12-31,948
inv_0000034,cust_00034,sub_000034,prod_007,2023-01-01,2023-01-01,2023-01-31,299.0
inv_0000035,cust_00035,sub_000035,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0
inv_0000036,cust_00036,sub_000036,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0
inv_0000037,cust_00037,sub_000037,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0
inv_0000038,cust_00038,sub_000038,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0
inv_0000039,cust_00039,sub_000039,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000040,cust_00040,sub_000040,prod_003,2023-01-01,2023-01-01,2023-12-31,288
inv_0000041,cust_00041,sub_000041,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000042,cust_00042,sub_000042,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000043,cust_00043,sub_000043,prod_007,2023-01-01,2023-01-01,2023-01-31,299.0
inv_0000044,cust_00044,sub_000044,prod_006,2023-01-01,2023-01-01,2023-12-31,948
inv_0000045,cust_00045,sub_000045,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000046,cust_00046,sub_000046,prod_006,2023-01-01,2023-01-01,2023-12-31,948
inv_0000047,cust_00047,sub_000047,prod_002,2023-01-01,2023-01-01,2023-03-31,81
inv_0000048,cust_00048,sub_000048,prod_009,2023-01-01,2023-01-01,2023-12-31,2988
inv_0000049,cust_00049,sub_000049,prod_006,2023-01-01,2023-01-01,2023-12-31,948
inv_0000050,cust_00050,sub_000050,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000051,cust_00051,sub_000051,prod_005,2023-01-01,2023-01-01,2023-03-31,282
inv_0000052,cust_00052,sub_000052,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000053,cust_00053,sub_000053,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0
inv_0000054,cust_00054,sub_000054,prod_006,2023-01-01,2023-01-01,2023-12-31,948
